cpg_id,cohort,total_barcodes
CPG247296,BioHEART,197
CPG247304,BioHEART,6
CPG247312,BioHEART,11571
CPG247320,BioHEART,2924
CPG247346,BioHEART,4031
CPG247353,BioHEART,5376
CPG247361,BioHEART,3760
CPG247379,BioHEART,4318
CPG247387,BioHEART,6341
CPG247411,BioHEART,4103
CPG247429,BioHEART,2068
CPG247437,BioHEART,5166
CPG247445,BioHEART,2895
CPG247452,BioHEART,271
CPG247460,BioHEART,2350
CPG247478,BioHEART,2558
CPG247486,BioHEART,2509
CPG247494,BioHEART,7090
CPG247510,BioHEART,4580
CPG247528,BioHEART,41
CPG247536,BioHEART,374
CPG247544,BioHEART,3325
CPG247551,BioHEART,2581
CPG247585,BioHEART,2341
CPG247593,BioHEART,5427
CPG247601,BioHEART,154
CPG247619,BioHEART,3803
CPG247627,BioHEART,2566
CPG247635,BioHEART,5068
CPG247643,BioHEART,262
CPG247650,BioHEART,2666
CPG247676,BioHEART,324
CPG247684,BioHEART,1957
CPG247692,BioHEART,740
CPG247700,BioHEART,6739
CPG247718,BioHEART,4502
CPG247726,BioHEART,4857
CPG247734,BioHEART,1881
CPG247742,BioHEART,2188
CPG247767,BioHEART,429
CPG247775,BioHEART,3112
CPG247791,BioHEART,54
CPG247809,BioHEART,3068
CPG247817,BioHEART,231
CPG247825,BioHEART,314
CPG247833,BioHEART,4599
CPG247841,BioHEART,1395
CPG247858,BioHEART,5718
CPG247866,BioHEART,4877
CPG247874,BioHEART,5733
CPG247882,BioHEART,101
CPG247890,BioHEART,3583
CPG247908,BioHEART,20
CPG247916,BioHEART,2999
CPG247924,BioHEART,5999
CPG247932,BioHEART,1002
CPG247965,BioHEART,3977
CPG247973,BioHEART,2879
CPG247981,BioHEART,468
CPG247999,BioHEART,2568
CPG248005,BioHEART,1522
CPG248013,BioHEART,5733
CPG248021,BioHEART,6678
CPG248039,BioHEART,929
CPG248047,BioHEART,7
CPG248054,BioHEART,2930
CPG248062,BioHEART,2615
CPG248070,BioHEART,4093
CPG248088,BioHEART,3496
CPG248096,BioHEART,4039
CPG248112,BioHEART,124
CPG248138,BioHEART,4484
CPG248146,BioHEART,2560
CPG248153,BioHEART,2584
CPG248161,BioHEART,612
CPG248179,BioHEART,5127
CPG248187,BioHEART,5371
CPG248195,BioHEART,3982
CPG248203,BioHEART,2705
CPG248211,BioHEART,1318
CPG248229,BioHEART,2846
CPG248237,BioHEART,3282
CPG248245,BioHEART,3757
CPG248252,BioHEART,1887
CPG248260,BioHEART,3502
CPG248278,BioHEART,2580
CPG248286,BioHEART,1095
