wg2_scpred_prediction	color_material	color_biorender1	color_biorender2	color	color_major_cell_type	color_major_cell_type_light	color_major_cell_type_light2	cell_type	major_cell_type
CD4_TCM	#0C46A0FF	#AB728A	#9C85C3	#311A92FF	#7E57C1FF	#ECE6F6FF	#D1C4E9FF	CD4 TCM	CD4 T
CD4_Naive	#1976D2FF	#83576A	#605278	#512CA7FF	#7E57C1FF	#ECE6F6FF	#D1C4E9FF	CD4 Naive	CD4 T
CD4_TEM	#2096F2FF	#C4839E	#8773A8	#6639B7FF	#7E57C1FF	#ECE6F6FF	#D1C4E9FF	CD4 TEM	CD4 T
CD4_CTL	#64B4F6FF	#DA91B0	#B197DD	#9474CCFF	#7E57C1FF	#ECE6F6FF	#D1C4E9FF	CD4 CTL	CD4 T
Treg	#90CAF8FF	#F4BFE0	#DFB4EC	#B29DDAFF	#7E57C1FF	#ECE6F6FF	#D1C4E9FF	Treg	CD4 T
CD4_Proliferating	#BADEFAFF	#DA91B0	#D4ACE1	#D1C4E9FF	#7E57C1FF	#ECE6F6FF	#D1C4E9FF	CD4 Proliferating	CD4 T
gdT	#817717FF	#A7B4D3	#DE94B4	#870D4EFF	#EB3F79FF	#FCE4EBFF	#F8BAD0FF	gdT	Unconventional T
MAIT	#AEB32BFF	#5D6E8D	#B0758E	#C1185AFF	#EB3F79FF	#FCE4EBFF	#F8BAD0FF	MAIT	Unconventional T
dnT	#CCDC39FF	#6A81B5	#EE9FC1	#E91E63FF	#EB3F79FF	#FCE4EBFF	#F8BAD0FF	dnT	Unconventional T
ILC	#DCE674FF	#CDDAE7	#BB7D97	#F06192FF	#EB3F79FF	#FCE4EBFF	#F8BAD0FF	ILC	Unconventional T
CD8_TEM	#311A92FF	#749C93	#6A81B5	#0C46A0FF	#41A5F4FF	#E3F2FDFF	#BADEFAFF	CD8 TEM	CD8 T
CD8_Naive	#5E34B1FF	#57736E	#5D6E8D	#1E87E5FF	#41A5F4FF	#E3F2FDFF	#BADEFAFF	CD8 Naive	CD8 T
CD8_TCM	#7E57C1FF	#70B1A4	#A7B4D3	#41A5F4FF	#41A5F4FF	#E3F2FDFF	#BADEFAFF	CD8 TCM	CD8 T
CD8_Proliferating	#D1C4E9FF	#8BD1BF	#CDDAE7	#BADEFAFF	#41A5F4FF	#E3F2FDFF	#BADEFAFF	CD8 Proliferating	CD8 T
NK	#AC1357FF	#708A5F	#708A5F	#2D7D32FF	#66BA6AFF	#E7F4E9FF	#C7E5C9FF	NK	NK
NK_CD56bright	#E91E63FF	#96B980	#96B981	#4CAE50FF	#66BA6AFF	#E7F4E9FF	#C7E5C9FF	NK CD56bright	NK
NK_Proliferating	#F38EB1FF	#BAE49E	#BAE49E	#A5D6A6FF	#66BA6AFF	#E7F4E9FF	#C7E5C9FF	NK Proliferating	NK
B_naive	#F47F17FF	#EEE0B6	#EEE0B7	#F47F17FF	#FFED58FF	#FFFDE6FF	#FFF8C4FF	B naive	B
B_intermediate	#FABF2CFF	#F8ED7D	#F8ED7D	#FABF2CFF	#FFED58FF	#FFFDE6FF	#FFF8C4FF	B intermediate	B
B_memory	#FFEB3AFF	#E2D872	#E2D872	#FFEB3AFF	#FFED58FF	#FFFDE6FF	#FFF8C4FF	B memory	B
Plasmablast	#FFF176FF	#B5AE5C	#B5AE5C	#FFF176FF	#FFED58FF	#FFFDE6FF	#FFF8C4FF	Plasmablast	B
CD14_Mono	#388D3BFF	#F3AF84	#F3AF84	#D84314FF	#FF7043FF	#FAE9E6FF	#FFCCBBFF	CD14 Mono	Monocyte
CD16_Mono	#80C684FF	#DD9F78	#DD9F78	#FFAB91FF	#FF7043FF	#FAE9E6FF	#FFCCBBFF	CD16 Mono	Monocyte
cDC2	#5D3F37FF	#9C4C49	#9C4C49	#5D3F37FF	#8C6D63FF	#EEEBE9FF	#D7CCC7FF	cDC2	Dendritic
pDC	#795447FF	#ED7470	#ED7470	#795447FF	#8C6D63FF	#EEEBE9FF	#D7CCC7FF	pDC	Dendritic
cDC1	#A0877FFF	#6E3634	#6E3634	#A0877FFF	#8C6D63FF	#EEEBE9FF	#D7CCC7FF	cDC1	Dendritic
ASDC	#D7CCC7FF	#CF6662	#CF6662	#D7CCC7FF	#8C6D63FF	#EEEBE9FF	#D7CCC7FF	ASDC	Dendritic
HSPC	#BDBDBDFF	#A9A9A9	#A9A9A9	#BDBDBDFF	#BDBDBDFF	#F9F9F9FF	#F4F4F4FF	HSPC	Other
